data		
Day	Spot	Futures
08/31/2020	"1,970.15"	"1,974.50"
08/28/2020	"1,964.89"	"1,970.80"
08/27/2020	"1,929.20"	"1,925.00"
08/26/2020	"1,954.03"	"1,944.10"
08/25/2020	"1,928.19"	"1,915.60"
08/24/2020	"1,933.09"	"1,931.50"
08/21/2020	"1,940.16"	"1,938.30"
08/20/2020	"1,943.60"	"1,938.30"
08/19/2020	"1,929.82"	"1,963.50"
08/18/2020	"2,001.20"	"2,004.80"
08/17/2020	"1,986.20"	"1,989.90"
08/14/2020	"1,944.29"	"1,942.30"
08/13/2020	"1,954.00"	"1,961.90"
08/12/2020	"1,918.07"	"1,940.50"
08/11/2020	"1,911.64"	"1,938.90"
08/10/2020	"2,027.77"	"2,030.30"
08/07/2020	"2,035.03"	"2,018.00"
08/06/2020	"2,063.81"	"2,058.40"
08/05/2020	"2,040.40"	"2,037.10"
08/04/2020	"2,018.52"	"2,008.50"
08/03/2020	"1,977.25"	"1,974.70"
07/31/2020	"1,975.89"	"1,973.90"
07/30/2020	"1,960.50"	"1,955.20"
07/29/2020	"1,970.73"	"1,959.40"
07/28/2020	"1,959.50"	"1,949.90"
07/27/2020	"1,942.42"	"1,936.20"
07/24/2020	"1,901.46"	"1,902.50"
07/23/2020	"1,887.44"	"1,894.80"
07/22/2020	"1,872.07"	"1,869.90"
07/21/2020	"1,842.22"	"1,848.70"
07/20/2020	"1,816.09"	"1,822.20"
